ID,Stage,Builder,Start,End,Duration,Outcome
Project ID3,Validating,RC,0,9,9,0
Project ID1,Validating,BZ,0,11,11,1
Project ID4,Validating,BZ,0,16,16,0
Project ID5,Validating,KB,0,20,20,0
Project ID1,Recruiting,BZ,11,20,9,1
Project ID8,Validating,BZ,16,22,6,1
Project ID2,Validating,KB,0,30,30,0
Project ID10,Validating,BZ,22,31,9,0
Project ID0,Validating,RC,0,36,36,1
Project ID13,Validating,RC,36,45,9,0
Project ID14,Validating,RC,45,48,3,0
Project ID6,Validating,RC,9,52,43,1
Project ID9,Validating,KB,20,53,33,1
Project ID11,Validating,KB,30,54,24,1
Project ID17,Validating,KB,53,54,1,0
Project ID7,Validating,BZ,11,55,44,0
Project ID8,Recruiting,BZ,22,56,34,1
Project ID19,Validating,KB,54,56,2,0
Project ID18,Validating,KB,54,60,6,0
Project ID12,Validating,BZ,31,61,30,0
Project ID15,Validating,RC,48,61,13,0
Project ID6,Recruiting,RC,52,63,11,1
Project ID21,Validating,KB,56,67,11,0
Project ID16,Validating,RC,52,76,24,0
Project ID20,Validating,BZ,55,76,21,1
Project ID22,Validating,KB,60,76,16,1
Project ID23,Validating,BZ,61,78,17,0
Project ID25,Validating,KB,67,81,14,1
Project ID20,Recruiting,BZ,76,84,8,1
Project ID26,Validating,RC,76,84,8,0
Project ID29,Validating,BZ,78,84,6,1
Project ID24,Validating,RC,61,87,26,1
Project ID1,Building,BZ,20,90,70,1
Project ID31,Validating,RC,84,96,12,1
Project ID32,Validating,BZ,84,100,16,1
Project ID28,Validating,KB,76,102,26,0
Project ID29,Recruiting,BZ,84,104,20,1
Project ID24,Recruiting,RC,87,104,17,1
Project ID34,Validating,RC,97,109,12,0
Project ID27,Validating,BZ,76,110,34,0
Project ID9,Recruiting,KB,53,111,58,1
Project ID33,Validating,RC,88,113,25,0
Project ID30,Validating,KB,81,114,33,1
Project ID36,Validating,KB,115,118,3,0
Project ID11,Recruiting,KB,54,119,65,1
Project ID35,Validating,BZ,106,131,25,0
Project ID8,Building,BZ,56,135,79,1
Project ID38,Validating,BZ,130,136,6,0
Project ID0,Recruiting,RC,36,137,101,0
Project ID22,Recruiting,KB,76,147,71,1
Project ID25,Recruiting,KB,81,150,69,1
Project ID37,Validating,RC,124,156,32,0
Project ID41,Validating,KB,148,156,8,1
Project ID40,Validating,KB,140,164,24,1
Project ID6,Building,RC,63,166,103,1
Project ID43,Validating,BZ,161,168,7,1
Project ID44,Validating,RC,167,170,3,0
Project ID20,Building,BZ,90,180,90,1
