ID,Stage,Builder,Start,End,Duration,Outcome
Project ID3,Validating,RC,0,7,7,1
Project ID4,Validating,BZ,0,7,7,0
Project ID3,Recruiting,RC,7,8,1,1
Project ID0,Validating,RC,0,12,12,0
Project ID7,Validating,BZ,7,12,5,0
Project ID9,Validating,BZ,12,14,2,1
Project ID6,Validating,RC,7,17,10,0
Project ID2,Validating,KB,0,18,18,1
Project ID8,Validating,RC,12,19,7,0
Project ID1,Validating,BZ,0,20,20,0
Project ID13,Validating,RC,19,27,8,0
Project ID5,Validating,KB,0,30,30,0
Project ID14,Validating,BZ,20,33,13,1
Project ID16,Validating,KB,30,33,3,0
Project ID15,Validating,RC,27,34,7,0
Project ID9,Recruiting,BZ,14,38,24,0
Project ID18,Validating,KB,33,40,7,0
Project ID10,Validating,BZ,14,41,27,0
Project ID11,Validating,RC,17,42,25,0
Project ID19,Validating,RC,34,42,8,0
Project ID14,Recruiting,BZ,33,51,18,1
Project ID23,Validating,RC,42,52,10,1
Project ID12,Validating,KB,18,53,35,1
Project ID22,Validating,RC,42,53,11,0
Project ID26,Validating,RC,53,56,3,0
Project ID27,Validating,RC,56,57,1,1
Project ID21,Validating,BZ,41,61,20,1
Project ID17,Validating,BZ,33,64,31,1
Project ID28,Validating,RC,59,66,7,0
Project ID29,Validating,BZ,65,66,1,1
Project ID27,Recruiting,RC,57,67,10,1
Project ID24,Validating,RC,52,69,17,0
Project ID25,Validating,KB,53,71,18,0
Project ID12,Recruiting,KB,53,79,26,0
Project ID20,Validating,KB,40,81,41,0
Project ID2,Recruiting,KB,18,94,76,1
Project ID30,Validating,BZ,71,94,23,1
Project ID31,Validating,RC,76,98,22,1
Project ID31,Recruiting,RC,98,102,4,1
Project ID3,Building,RC,8,110,102,1
Project ID34,Validating,KB,102,114,12,0
Project ID33,Validating,RC,93,116,23,0
Project ID17,Recruiting,BZ,64,119,55,1
Project ID36,Validating,BZ,113,119,6,0
Project ID29,Recruiting,BZ,66,124,58,1
Project ID32,Validating,BZ,85,128,43,1
Project ID35,Validating,KB,107,128,21,1
Project ID23,Recruiting,RC,52,130,78,1
Project ID14,Building,BZ,51,137,86,0
Project ID39,Validating,RC,138,141,3,0
Project ID37,Validating,RC,122,145,23,1
Project ID35,Recruiting,KB,128,148,20,1
Project ID32,Recruiting,BZ,128,149,21,1
Project ID40,Validating,BZ,144,151,7,0
Project ID30,Recruiting,BZ,94,153,59,1
Project ID21,Recruiting,BZ,61,157,96,1
Project ID41,Validating,BZ,153,167,14,1
Project ID38,Validating,KB,129,168,39,0
Project ID27,Building,RC,67,169,102,1
Project ID42,Validating,KB,158,169,11,0
Project ID37,Recruiting,RC,145,174,29,1
Project ID2,Building,KB,94,178,84,1
Project ID41,Recruiting,BZ,167,185,18,0
Project ID45,Validating,BZ,179,186,7,0
Project ID43,Validating,RC,166,188,22,0
Project ID46,Validating,BZ,184,190,6,0
Project ID44,Validating,RC,172,191,19,1
Project ID17,Building,BZ,119,194,75,1
