ID,Stage,Builder,Start,End,Duration,Outcome
Project ID5,Validating,KB,0,3,3,0
Project ID0,Validating,RC,0,15,15,0
Project ID2,Validating,KB,0,16,16,1
Project ID8,Validating,KB,16,17,1,0
Project ID3,Validating,RC,0,22,22,0
Project ID6,Validating,KB,3,30,27,0
Project ID9,Validating,KB,17,31,14,0
Project ID7,Validating,RC,15,34,19,1
Project ID11,Validating,KB,30,36,6,1
Project ID12,Validating,KB,31,37,6,1
Project ID10,Validating,RC,22,40,18,0
Project ID16,Validating,RC,40,41,1,0
Project ID17,Validating,RC,41,43,2,0
Project ID4,Validating,BZ,0,45,45,0
Project ID15,Validating,KB,37,45,8,0
Project ID18,Validating,RC,43,48,5,0
Project ID12,Recruiting,KB,37,50,13,0
Project ID1,Validating,BZ,0,52,52,0
Project ID14,Validating,KB,36,52,16,1
Project ID22,Validating,BZ,52,53,1,0
Project ID21,Validating,RC,48,55,7,1
Project ID7,Recruiting,RC,34,63,29,0
Project ID19,Validating,BZ,45,63,18,0
Project ID25,Validating,RC,55,65,10,0
Project ID24,Validating,BZ,53,66,13,1
Project ID27,Validating,RC,65,66,1,1
Project ID23,Validating,KB,52,67,15,0
Project ID29,Validating,RC,66,67,1,1
Project ID26,Validating,BZ,63,68,5,0
Project ID28,Validating,BZ,66,72,6,0
Project ID24,Recruiting,BZ,66,73,7,1
Project ID30,Validating,KB,67,80,13,1
Project ID13,Validating,RC,34,82,48,0
Project ID27,Recruiting,RC,66,86,20,1
Project ID20,Validating,KB,45,93,48,0
Project ID21,Recruiting,RC,55,98,43,1
Project ID35,Validating,RC,98,99,1,1
Project ID33,Validating,BZ,85,100,15,0
Project ID14,Recruiting,KB,52,104,52,1
Project ID34,Validating,KB,92,108,16,1
Project ID31,Validating,RC,73,119,46,0
Project ID2,Recruiting,KB,16,124,108,1
Project ID37,Validating,RC,111,126,15,1
Project ID34,Recruiting,KB,108,128,20,1
Project ID36,Validating,KB,106,130,24,1
Project ID38,Validating,BZ,117,134,17,1
Project ID40,Validating,RC,128,136,8,0
Project ID41,Validating,RC,133,136,3,0
Project ID39,Validating,KB,122,143,21,0
Project ID32,Validating,BZ,78,144,66,0
Project ID24,Building,BZ,73,146,73,1
Project ID42,Validating,KB,141,149,8,0
Project ID35,Recruiting,RC,99,151,52,1
Project ID43,Validating,BZ,147,158,11,0
Project ID44,Validating,RC,154,163,9,1
Project ID37,Recruiting,RC,126,165,39,1
Project ID36,Recruiting,KB,130,177,47,1
Project ID14,Building,KB,104,180,76,1
Project ID29,Recruiting,RC,67,185,118,0
Project ID45,Validating,RC,162,185,23,1
Project ID21,Building,RC,98,187,89,1
Project ID47,Validating,BZ,177,191,14,0
Project ID45,Recruiting,RC,185,191,6,1
Project ID27,Building,RC,86,192,106,1
Project ID48,Validating,KB,184,193,9,0
Project ID2,Building,KB,124,194,70,1
