ID,Stage,Builder,Start,End,Duration,Outcome
Project ID3,Validating,RC,0,8,8,1
Project ID0,Validating,RC,0,9,9,0
Project ID6,Validating,RC,8,13,5,0
Project ID2,Validating,KB,0,23,23,0
Project ID5,Validating,KB,0,23,23,1
Project ID9,Validating,KB,23,25,2,0
Project ID10,Validating,KB,23,28,5,0
Project ID8,Validating,RC,13,31,18,0
Project ID1,Validating,BZ,0,32,32,0
Project ID4,Validating,BZ,0,32,32,1
Project ID7,Validating,RC,9,36,27,1
Project ID4,Recruiting,BZ,32,36,4,1
Project ID11,Validating,KB,25,44,19,0
Project ID12,Validating,KB,28,45,17,0
Project ID15,Validating,BZ,32,46,14,1
Project ID17,Validating,KB,44,49,5,1
Project ID13,Validating,RC,31,50,19,0
Project ID20,Validating,KB,49,55,6,0
Project ID14,Validating,BZ,32,58,26,1
Project ID18,Validating,KB,45,61,16,0
Project ID24,Validating,KB,61,62,1,1
Project ID24,Recruiting,KB,62,62,0,1
Project ID21,Validating,RC,50,65,15,1
Project ID23,Validating,BZ,58,67,9,0
Project ID22,Validating,KB,55,73,18,1
Project ID28,Validating,KB,73,76,3,1
Project ID19,Validating,BZ,46,77,31,0
Project ID27,Validating,BZ,67,77,10,1
Project ID16,Validating,RC,36,84,48,0
Project ID29,Validating,KB,76,84,8,0
Project ID30,Validating,BZ,77,86,9,0
Project ID25,Validating,KB,62,89,27,1
Project ID31,Validating,BZ,77,91,14,0
Project ID32,Validating,RC,85,98,13,1
Project ID5,Recruiting,KB,23,102,79,0
Project ID34,Validating,BZ,101,105,4,0
Project ID25,Recruiting,KB,89,108,19,1
Project ID26,Validating,RC,65,111,46,0
Project ID32,Recruiting,RC,98,111,13,1
Project ID3,Recruiting,RC,8,113,105,0
Project ID33,Validating,KB,92,113,21,0
Project ID35,Validating,KB,110,119,9,0
Project ID37,Validating,RC,126,134,8,1
Project ID4,Building,BZ,36,135,99,1
Project ID21,Recruiting,RC,65,137,72,1
Project ID22,Recruiting,KB,73,140,67,0
Project ID36,Validating,BZ,118,141,23,0
Project ID14,Recruiting,BZ,58,151,93,1
Project ID27,Recruiting,BZ,77,152,75,1
Project ID7,Recruiting,RC,36,153,117,0
Project ID17,Recruiting,KB,49,153,104,0
Project ID40,Validating,KB,144,154,10,0
Project ID15,Recruiting,BZ,46,159,113,1
Project ID39,Validating,RC,138,160,22,0
Project ID24,Building,KB,62,164,102,1
Project ID38,Validating,BZ,131,164,33,1
Project ID43,Validating,BZ,165,166,1,1
Project ID38,Recruiting,BZ,164,167,3,1
Project ID44,Validating,KB,170,171,1,1
Project ID41,Validating,KB,151,173,22,1
Project ID42,Validating,RC,160,178,18,1
Project ID25,Building,KB,108,179,71,1
