ID,Stage,Builder,Start,End,Duration,Outcome
Project ID0,Validating,RC,0,1,1,0
Project ID3,Validating,RC,0,8,8,0
Project ID6,Validating,RC,1,9,8,1
Project ID8,Validating,RC,9,15,6,1
Project ID1,Validating,BZ,0,19,19,0
Project ID5,Validating,KB,0,20,20,0
Project ID2,Validating,KB,0,21,21,0
Project ID11,Validating,KB,20,23,3,0
Project ID13,Validating,KB,23,24,1,1
Project ID7,Validating,RC,8,25,17,1
Project ID4,Validating,BZ,0,26,26,0
Project ID14,Validating,KB,24,32,8,0
Project ID6,Recruiting,RC,9,33,24,1
Project ID12,Validating,KB,21,34,13,1
Project ID10,Validating,BZ,19,35,16,0
Project ID9,Validating,RC,15,43,28,0
Project ID15,Validating,RC,25,43,18,1
Project ID20,Validating,RC,43,48,5,1
Project ID17,Validating,KB,32,50,18,0
Project ID21,Validating,RC,43,50,7,0
Project ID22,Validating,RC,48,51,3,1
Project ID24,Validating,RC,50,53,3,1
Project ID25,Validating,RC,51,56,5,1
Project ID27,Validating,RC,56,60,4,0
Project ID16,Validating,BZ,26,62,36,0
Project ID24,Recruiting,RC,53,62,9,1
Project ID13,Recruiting,KB,24,64,40,1
Project ID19,Validating,BZ,35,64,29,0
Project ID29,Validating,BZ,62,66,4,0
Project ID12,Recruiting,KB,34,68,34,1
Project ID8,Recruiting,RC,15,74,59,1
Project ID28,Validating,RC,60,75,15,0
Project ID18,Validating,KB,34,81,47,0
Project ID23,Validating,KB,50,83,33,0
Project ID26,Validating,RC,53,86,33,1
Project ID31,Validating,BZ,71,88,17,0
Project ID20,Recruiting,RC,48,93,45,1
Project ID33,Validating,KB,88,100,12,1
Project ID25,Recruiting,RC,56,102,46,1
Project ID30,Validating,BZ,64,105,41,0
Project ID32,Validating,RC,80,110,30,1
Project ID15,Recruiting,RC,43,113,70,1
Project ID36,Validating,BZ,110,113,3,0
Project ID33,Recruiting,KB,100,125,25,0
Project ID34,Validating,KB,96,128,32,0
Project ID13,Building,KB,64,136,72,0
Project ID35,Validating,RC,102,136,34,0
Project ID6,Building,RC,33,142,109,0
Project ID38,Validating,BZ,122,142,20,0
Project ID37,Validating,KB,116,144,28,0
Project ID22,Recruiting,RC,51,146,95,1
Project ID39,Validating,RC,130,147,17,0
Project ID12,Building,KB,68,150,82,0
Project ID24,Building,RC,62,151,89,1
