ID,Stage,Builder,Start,End,Duration,Outcome
Project ID2,Validating,KB,0,1,1,0
Project ID4,Validating,BZ,0,6,6,0
Project ID0,Validating,RC,0,8,8,0
Project ID3,Validating,RC,0,18,18,1
Project ID5,Validating,KB,0,19,19,1
Project ID5,Recruiting,KB,19,19,0,0
Project ID7,Validating,BZ,6,21,15,1
Project ID8,Validating,RC,8,22,14,1
Project ID1,Validating,BZ,0,28,28,1
Project ID9,Validating,RC,18,28,10,1
Project ID14,Validating,RC,28,29,1,0
Project ID6,Validating,KB,1,30,29,1
Project ID15,Validating,RC,29,31,2,0
Project ID10,Validating,KB,19,38,19,0
Project ID11,Validating,BZ,21,39,18,1
Project ID13,Validating,BZ,28,42,14,1
Project ID16,Validating,KB,30,42,12,0
Project ID11,Recruiting,BZ,39,42,3,0
Project ID7,Recruiting,BZ,21,46,25,0
Project ID19,Validating,BZ,39,47,8,0
Project ID21,Validating,KB,42,47,5,0
Project ID17,Validating,RC,31,51,20,0
Project ID3,Recruiting,RC,18,53,35,1
Project ID12,Validating,RC,22,62,40,0
Project ID24,Validating,RC,51,64,13,1
Project ID20,Validating,BZ,42,72,30,0
Project ID23,Validating,KB,47,72,25,1
Project ID26,Validating,RC,64,75,11,0
Project ID29,Validating,RC,75,76,1,0
Project ID22,Validating,BZ,47,77,30,0
Project ID23,Recruiting,KB,72,78,6,1
Project ID28,Validating,KB,72,79,7,0
Project ID27,Validating,BZ,72,81,9,0
Project ID6,Recruiting,KB,30,82,52,0
Project ID13,Recruiting,BZ,42,96,54,1
Project ID31,Validating,BZ,79,98,19,0
Project ID34,Validating,BZ,100,101,1,0
Project ID18,Validating,KB,38,104,66,0
Project ID1,Recruiting,BZ,28,105,77,1
Project ID32,Validating,KB,85,110,25,0
Project ID25,Validating,RC,62,115,53,1
Project ID25,Recruiting,RC,115,118,3,1
Project ID8,Recruiting,RC,22,119,97,1
Project ID33,Validating,BZ,94,119,25,0
Project ID24,Recruiting,RC,64,121,57,1
Project ID38,Validating,RC,135,136,1,1
Project ID3,Building,RC,53,137,84,1
Project ID36,Validating,KB,118,137,19,1
Project ID37,Validating,KB,126,146,20,0
Project ID39,Validating,BZ,143,147,4,0
Project ID35,Validating,BZ,109,154,45,0
Project ID40,Validating,RC,152,154,2,0
Project ID30,Validating,RC,76,160,84,0
Project ID13,Building,BZ,96,173,77,1
Project ID23,Building,KB,78,176,98,0
Project ID42,Validating,KB,168,180,12,0
Project ID41,Validating,KB,161,182,21,0
Project ID9,Recruiting,RC,28,190,162,1
Project ID1,Building,BZ,105,190,85,1
