ID,Stage,Builder,Start,End,Duration,Outcome
Project ID4,Validating,BZ,0,3,3,0
Project ID1,Validating,BZ,0,8,8,0
Project ID3,Validating,RC,0,14,14,0
Project ID8,Validating,RC,14,15,1,0
Project ID7,Validating,BZ,8,30,22,1
Project ID6,Validating,BZ,3,32,29,1
Project ID9,Validating,RC,15,36,21,1
Project ID7,Recruiting,BZ,30,37,7,0
Project ID0,Validating,RC,0,43,43,0
Project ID2,Validating,KB,0,43,43,0
Project ID5,Validating,KB,0,43,43,0
Project ID11,Validating,BZ,32,47,15,0
Project ID13,Validating,RC,43,59,16,0
Project ID12,Validating,RC,36,62,26,0
Project ID18,Validating,RC,62,67,5,1
Project ID19,Validating,RC,67,74,7,0
Project ID10,Validating,BZ,30,75,45,1
Project ID14,Validating,KB,43,76,33,1
Project ID16,Validating,BZ,47,77,30,0
Project ID22,Validating,KB,76,78,2,0
Project ID24,Validating,KB,78,80,2,0
Project ID6,Recruiting,BZ,32,86,54,1
Project ID10,Recruiting,BZ,75,89,14,1
Project ID23,Validating,BZ,77,89,12,0
Project ID21,Validating,BZ,75,90,15,0
Project ID17,Validating,RC,59,93,34,0
Project ID25,Validating,KB,80,103,23,0
Project ID20,Validating,RC,74,106,32,1
Project ID27,Validating,BZ,90,106,16,1
Project ID30,Validating,RC,106,109,3,0
Project ID15,Validating,KB,43,111,68,0
Project ID28,Validating,RC,93,113,20,0
Project ID29,Validating,KB,103,115,12,0
Project ID34,Validating,RC,113,117,4,1
Project ID34,Recruiting,RC,117,117,0,1
Project ID9,Recruiting,RC,36,120,84,1
Project ID14,Recruiting,KB,76,120,44,1
Project ID33,Validating,KB,111,125,14,1
Project ID20,Recruiting,RC,106,126,20,1
Project ID26,Validating,BZ,89,127,38,0
Project ID36,Validating,RC,118,130,12,0
Project ID33,Recruiting,KB,125,133,8,1
Project ID31,Validating,BZ,106,137,31,0
Project ID35,Validating,KB,115,139,24,1
Project ID32,Validating,RC,109,143,34,0
Project ID38,Validating,BZ,134,147,13,0
Project ID39,Validating,RC,141,149,8,1
Project ID37,Validating,KB,125,150,25,0
Project ID40,Validating,BZ,149,151,2,0
Project ID6,Building,BZ,86,159,73,1
Project ID42,Validating,RC,163,171,8,1
Project ID43,Validating,BZ,171,172,1,1
Project ID10,Building,BZ,89,175,86,1
Project ID18,Recruiting,RC,67,191,124,0
Project ID14,Building,KB,120,195,75,0
