ID,Stage,Builder,Start,End,Duration,Outcome
Project ID5,Validating,KB,0,1,1,0
Project ID4,Validating,BZ,0,12,12,0
Project ID2,Validating,KB,0,21,21,1
Project ID7,Validating,BZ,12,21,9,1
Project ID0,Validating,RC,0,33,33,1
Project ID3,Validating,RC,0,33,33,0
Project ID10,Validating,RC,33,34,1,0
Project ID6,Validating,KB,1,35,34,0
Project ID12,Validating,RC,34,42,8,1
Project ID14,Validating,RC,42,43,1,0
Project ID8,Validating,KB,21,45,24,0
Project ID1,Validating,BZ,0,47,47,0
Project ID0,Recruiting,RC,33,47,14,1
Project ID15,Validating,RC,43,49,6,0
Project ID13,Validating,KB,35,53,18,1
Project ID17,Validating,BZ,47,53,6,0
Project ID18,Validating,RC,49,57,8,1
Project ID11,Validating,RC,33,58,25,1
Project ID9,Validating,BZ,21,60,39,0
Project ID18,Recruiting,RC,57,61,4,1
Project ID2,Recruiting,KB,21,62,41,0
Project ID19,Validating,KB,53,63,10,0
Project ID7,Recruiting,BZ,21,64,43,1
Project ID16,Validating,KB,45,64,19,0
Project ID23,Validating,BZ,60,74,14,1
Project ID25,Validating,KB,64,75,11,1
Project ID20,Validating,BZ,53,78,25,0
Project ID26,Validating,BZ,74,78,4,0
Project ID24,Validating,KB,63,80,17,0
Project ID21,Validating,RC,57,81,24,1
Project ID28,Validating,BZ,78,83,5,0
Project ID27,Validating,KB,75,88,13,0
Project ID29,Validating,BZ,78,95,17,1
Project ID31,Validating,RC,81,98,17,0
Project ID12,Recruiting,RC,42,103,61,1
Project ID25,Recruiting,KB,75,105,30,1
Project ID13,Recruiting,KB,53,108,55,0
Project ID30,Validating,KB,80,114,34,0
Project ID32,Validating,BZ,85,118,33,0
Project ID11,Recruiting,RC,58,122,64,1
Project ID33,Validating,KB,94,122,28,0
Project ID37,Validating,BZ,120,123,3,1
Project ID21,Recruiting,RC,81,124,43,1
Project ID35,Validating,RC,108,124,16,1
Project ID29,Recruiting,BZ,95,128,33,1
Project ID22,Validating,RC,58,133,75,1
Project ID36,Validating,KB,115,133,18,1
Project ID0,Building,RC,47,135,88,1
Project ID36,Recruiting,KB,133,138,5,1
Project ID39,Validating,BZ,137,138,1,0
Project ID23,Recruiting,BZ,74,139,65,1
Project ID37,Recruiting,BZ,123,147,24,1
Project ID34,Validating,BZ,99,150,51,1
Project ID42,Validating,KB,154,162,8,0
Project ID18,Building,RC,61,164,103,1
Project ID7,Building,BZ,64,168,104,1
Project ID38,Validating,KB,129,173,44,0
Project ID35,Recruiting,RC,124,174,50,1
Project ID40,Validating,RC,142,181,39,0
Project ID34,Recruiting,BZ,150,183,33,1
Project ID25,Building,KB,105,185,80,1
