ID,Stage,Builder,Start,End,Duration,Outcome
Project ID0,Validating,RC,0,7,7,0
Project ID2,Validating,KB,0,8,8,0
Project ID3,Validating,RC,0,8,8,0
Project ID5,Validating,KB,0,20,20,0
Project ID7,Validating,KB,8,20,12,0
Project ID8,Validating,RC,8,23,15,1
Project ID11,Validating,RC,23,27,4,0
Project ID9,Validating,KB,20,30,10,0
Project ID6,Validating,RC,7,32,25,0
Project ID12,Validating,RC,27,32,5,0
Project ID4,Validating,BZ,0,33,33,1
Project ID13,Validating,KB,30,39,9,1
Project ID1,Validating,BZ,0,45,45,0
Project ID10,Validating,KB,20,46,26,0
Project ID4,Recruiting,BZ,33,49,16,1
Project ID17,Validating,KB,39,49,10,1
Project ID13,Recruiting,KB,39,50,11,1
Project ID16,Validating,BZ,33,53,20,0
Project ID21,Validating,BZ,53,60,7,0
Project ID22,Validating,BZ,60,61,1,1
Project ID19,Validating,KB,46,64,18,0
Project ID15,Validating,RC,32,67,35,1
Project ID15,Recruiting,RC,67,69,2,1
Project ID18,Validating,BZ,45,71,26,0
Project ID14,Validating,RC,32,73,41,0
Project ID8,Recruiting,RC,23,77,54,0
Project ID20,Validating,KB,49,80,31,0
Project ID26,Validating,BZ,71,89,18,0
Project ID27,Validating,RC,73,89,16,1
Project ID29,Validating,BZ,89,92,3,0
Project ID30,Validating,RC,89,93,4,1
Project ID32,Validating,RC,93,99,6,0
Project ID25,Validating,RC,67,101,34,1
Project ID28,Validating,KB,80,106,26,1
Project ID24,Validating,KB,64,109,45,0
Project ID28,Recruiting,KB,106,109,3,1
Project ID22,Recruiting,BZ,61,119,58,1
Project ID33,Validating,RC,99,126,27,1
Project ID31,Validating,BZ,92,127,35,1
Project ID36,Validating,KB,116,129,13,0
Project ID37,Validating,RC,126,130,4,1
Project ID34,Validating,RC,101,132,31,0
Project ID25,Recruiting,RC,101,137,36,1
Project ID35,Validating,KB,109,137,28,0
Project ID23,Validating,BZ,61,142,81,0
Project ID4,Building,BZ,49,143,94,1
Project ID38,Validating,BZ,130,144,14,1
Project ID31,Recruiting,BZ,127,146,19,1
Project ID37,Recruiting,RC,130,148,18,1
Project ID39,Validating,KB,139,149,10,1
Project ID39,Recruiting,KB,149,151,2,0
Project ID13,Building,KB,50,154,104,1
Project ID17,Recruiting,KB,49,157,108,1
Project ID30,Recruiting,RC,93,169,76,1
Project ID40,Validating,RC,145,169,24,1
Project ID15,Building,RC,69,178,109,1
