ID,Stage,Builder,Start,End,Duration,Outcome
Project ID4,Validating,BZ,0,6,6,0
Project ID1,Validating,BZ,0,8,8,0
Project ID5,Validating,KB,0,8,8,0
Project ID0,Validating,RC,0,13,13,0
Project ID3,Validating,RC,0,14,14,0
Project ID7,Validating,BZ,8,18,10,0
Project ID2,Validating,KB,0,19,19,1
Project ID8,Validating,KB,8,20,12,0
Project ID12,Validating,KB,19,21,2,1
Project ID14,Validating,KB,21,27,6,0
Project ID11,Validating,BZ,18,29,11,0
Project ID16,Validating,BZ,29,31,2,0
Project ID6,Validating,BZ,6,33,27,1
Project ID18,Validating,BZ,33,34,1,1
Project ID17,Validating,BZ,31,35,4,0
Project ID13,Validating,KB,20,39,19,0
Project ID10,Validating,RC,14,40,26,1
Project ID15,Validating,KB,27,40,13,0
Project ID18,Recruiting,BZ,34,47,13,1
Project ID22,Validating,RC,40,53,13,0
Project ID9,Validating,RC,13,54,41,0
Project ID19,Validating,BZ,34,54,20,1
Project ID20,Validating,BZ,35,59,24,0
Project ID23,Validating,KB,40,61,21,1
Project ID24,Validating,RC,53,63,10,0
Project ID26,Validating,BZ,54,63,9,1
Project ID27,Validating,BZ,59,64,5,1
Project ID25,Validating,RC,54,69,15,0
Project ID21,Validating,KB,39,72,33,0
Project ID23,Recruiting,KB,61,72,11,0
Project ID29,Validating,RC,63,74,11,0
Project ID28,Validating,KB,61,75,14,1
Project ID27,Recruiting,BZ,64,77,13,1
Project ID30,Validating,BZ,69,78,9,1
Project ID26,Recruiting,BZ,63,81,18,1
Project ID28,Recruiting,KB,75,85,10,1
Project ID31,Validating,BZ,74,86,12,1
Project ID12,Recruiting,KB,21,97,76,1
Project ID32,Validating,RC,81,98,17,0
Project ID2,Recruiting,KB,19,100,81,1
Project ID10,Recruiting,RC,40,105,65,1
Project ID31,Recruiting,BZ,86,108,22,1
Project ID33,Validating,KB,88,112,24,0
Project ID19,Recruiting,BZ,54,117,63,1
Project ID36,Validating,BZ,111,119,8,0
Project ID34,Validating,RC,94,124,30,1
Project ID35,Validating,KB,102,124,22,0
Project ID18,Building,BZ,47,125,78,1
Project ID6,Recruiting,BZ,33,131,98,1
Project ID38,Validating,RC,126,139,13,0
Project ID40,Validating,BZ,141,142,1,0
Project ID37,Validating,BZ,119,144,25,0
Project ID39,Validating,KB,135,144,9,0
Project ID27,Building,BZ,77,153,76,1
Project ID43,Validating,RC,159,163,4,1
Project ID41,Validating,RC,149,164,15,0
Project ID30,Recruiting,BZ,78,166,88,0
Project ID12,Building,KB,97,174,77,1
Project ID28,Building,KB,85,179,94,1
Project ID42,Validating,KB,154,180,26,0
Project ID10,Building,RC,105,183,78,1
