ID,Stage,Builder,Start,End,Duration,Outcome
Project ID3,Validating,RC,0,1,1,0
Project ID0,Validating,RC,0,4,4,1
Project ID4,Validating,BZ,0,5,5,1
Project ID1,Validating,BZ,0,10,10,1
Project ID5,Validating,KB,0,14,14,0
Project ID2,Validating,KB,0,19,19,0
Project ID10,Validating,KB,14,22,8,0
Project ID1,Recruiting,BZ,10,23,13,1
Project ID11,Validating,KB,19,24,5,0
Project ID12,Validating,KB,22,26,4,0
Project ID6,Validating,RC,1,34,33,1
Project ID13,Validating,KB,24,35,11,0
Project ID15,Validating,RC,34,35,1,0
Project ID7,Validating,RC,4,37,33,1
Project ID17,Validating,RC,35,37,2,1
Project ID14,Validating,KB,26,42,16,1
Project ID19,Validating,RC,37,44,7,1
Project ID8,Validating,BZ,5,45,40,1
Project ID20,Validating,KB,42,45,3,1
Project ID19,Recruiting,RC,44,47,3,1
Project ID21,Validating,RC,44,47,3,0
Project ID23,Validating,KB,45,52,7,0
Project ID16,Validating,KB,35,56,21,0
Project ID9,Validating,BZ,10,60,50,1
Project ID25,Validating,KB,52,63,11,0
Project ID27,Validating,BZ,60,65,5,0
Project ID6,Recruiting,RC,34,68,34,1
Project ID24,Validating,RC,47,70,23,0
Project ID29,Validating,BZ,65,71,6,0
Project ID26,Validating,KB,56,78,22,1
Project ID31,Validating,BZ,74,79,5,0
Project ID7,Recruiting,RC,37,84,47,1
Project ID32,Validating,KB,79,88,9,0
Project ID4,Recruiting,BZ,5,90,85,1
Project ID18,Validating,RC,37,91,54,1
Project ID28,Validating,KB,63,92,29,1
Project ID20,Recruiting,KB,45,93,48,1
Project ID30,Validating,RC,70,95,25,0
Project ID1,Building,BZ,23,100,77,1
Project ID0,Recruiting,RC,4,101,97,0
Project ID22,Validating,BZ,45,103,58,0
Project ID28,Recruiting,KB,92,104,12,1
Project ID34,Validating,KB,95,107,12,1
Project ID35,Validating,RC,102,107,5,1
Project ID17,Recruiting,RC,37,122,85,1
Project ID8,Recruiting,BZ,45,123,78,1
Project ID36,Validating,KB,111,124,13,0
Project ID9,Recruiting,BZ,60,129,69,1
Project ID34,Recruiting,KB,107,132,25,1
Project ID33,Validating,BZ,88,133,45,1
Project ID26,Recruiting,KB,78,135,57,1
Project ID19,Building,RC,47,137,90,1
Project ID37,Validating,RC,120,140,20,1
Project ID18,Recruiting,RC,91,141,50,1
Project ID38,Validating,BZ,129,143,14,1
Project ID39,Validating,KB,135,145,10,1
Project ID40,Validating,RC,143,151,8,1
Project ID39,Recruiting,KB,145,160,15,1
Project ID41,Validating,KB,151,162,11,0
Project ID40,Recruiting,RC,151,163,12,0
Project ID35,Recruiting,RC,107,164,57,1
Project ID37,Recruiting,RC,140,169,29,1
Project ID6,Building,RC,68,172,104,0
Project ID4,Building,BZ,90,173,83,1
Project ID45,Validating,KB,181,182,1,0
Project ID44,Validating,BZ,172,184,12,1
Project ID20,Building,KB,93,189,96,1
Project ID46,Validating,RC,188,189,1,0
Project ID28,Building,KB,104,193,89,1
