ID,Stage,Builder,Start,End,Duration,Outcome
Project ID1,Validating,BZ,0,7,7,1
Project ID3,Validating,RC,0,9,9,0
Project ID0,Validating,RC,0,16,16,1
Project ID2,Validating,KB,0,16,16,0
Project ID7,Validating,RC,9,18,9,0
Project ID9,Validating,KB,16,19,3,1
Project ID6,Validating,BZ,7,20,13,0
Project ID10,Validating,RC,18,24,6,1
Project ID5,Validating,KB,0,27,27,0
Project ID13,Validating,RC,24,27,3,0
Project ID12,Validating,BZ,20,28,8,1
Project ID15,Validating,RC,27,33,6,1
Project ID4,Validating,BZ,0,37,37,1
Project ID11,Validating,KB,19,37,18,0
Project ID8,Validating,RC,16,38,22,0
Project ID14,Validating,KB,27,41,14,1
Project ID1,Recruiting,BZ,7,43,36,1
Project ID12,Recruiting,BZ,28,45,17,1
Project ID15,Recruiting,RC,33,45,12,1
Project ID20,Validating,RC,38,48,10,0
Project ID16,Validating,BZ,28,53,25,1
Project ID14,Recruiting,KB,41,56,15,1
Project ID18,Validating,BZ,37,60,23,0
Project ID21,Validating,KB,41,69,28,1
Project ID23,Validating,BZ,53,73,20,1
Project ID23,Recruiting,BZ,73,77,4,1
Project ID22,Validating,RC,48,78,30,1
Project ID26,Validating,BZ,73,78,5,0
Project ID28,Validating,BZ,78,82,4,1
Project ID19,Validating,KB,37,84,47,1
Project ID29,Validating,BZ,82,92,10,0
Project ID31,Validating,BZ,92,93,1,0
Project ID19,Recruiting,KB,84,95,11,1
Project ID0,Recruiting,RC,16,96,80,1
Project ID17,Validating,RC,33,98,65,1
Project ID30,Validating,KB,84,98,14,0
Project ID25,Validating,KB,69,102,33,0
Project ID16,Recruiting,BZ,53,107,54,0
Project ID24,Validating,BZ,60,108,48,0
Project ID32,Validating,BZ,93,109,16,1
Project ID34,Validating,KB,101,111,10,0
Project ID22,Recruiting,RC,78,113,35,1
Project ID27,Validating,RC,78,114,36,0
Project ID35,Validating,KB,109,116,7,1
Project ID36,Validating,BZ,115,116,1,1
Project ID17,Recruiting,RC,98,118,20,1
Project ID36,Recruiting,BZ,116,121,5,1
Project ID12,Building,BZ,45,125,80,1
Project ID1,Building,BZ,43,129,86,1
Project ID37,Validating,BZ,123,129,6,0
Project ID33,Validating,RC,98,134,36,1
Project ID9,Recruiting,KB,19,142,123,0
Project ID15,Building,RC,45,143,98,0
Project ID40,Validating,KB,144,145,1,0
Project ID32,Recruiting,BZ,109,149,40,1
Project ID14,Building,KB,56,152,96,1
