ID,Stage,Builder,Start,End,Duration,Outcome
Project ID0,Validating,RC,0,8,8,0
Project ID3,Validating,RC,0,8,8,0
Project ID6,Validating,RC,8,20,12,1
Project ID5,Validating,KB,0,23,23,1
Project ID8,Validating,RC,20,25,5,1
Project ID1,Validating,BZ,0,37,37,0
Project ID6,Recruiting,RC,20,38,18,1
Project ID7,Validating,RC,8,39,31,0
Project ID2,Validating,KB,0,40,40,1
Project ID9,Validating,KB,23,46,23,1
Project ID11,Validating,BZ,37,50,13,0
Project ID12,Validating,RC,39,55,16,1
Project ID13,Validating,KB,40,56,16,0
Project ID10,Validating,RC,25,57,32,0
Project ID2,Recruiting,KB,40,59,19,1
Project ID14,Validating,KB,46,60,14,0
Project ID15,Validating,BZ,50,60,10,0
Project ID4,Validating,BZ,0,62,62,1
Project ID16,Validating,RC,55,70,15,0
Project ID4,Recruiting,BZ,62,72,10,0
Project ID17,Validating,KB,56,74,18,0
Project ID18,Validating,RC,57,74,17,0
Project ID21,Validating,BZ,62,77,15,0
Project ID22,Validating,RC,70,78,8,1
Project ID24,Validating,RC,74,82,8,1
Project ID8,Recruiting,RC,25,84,59,1
Project ID19,Validating,KB,60,89,29,1
Project ID25,Validating,BZ,77,91,14,1
Project ID26,Validating,RC,78,91,13,1
Project ID29,Validating,BZ,91,92,1,1
Project ID20,Validating,BZ,60,102,42,1
Project ID23,Validating,KB,74,105,31,0
Project ID32,Validating,BZ,102,106,4,1
Project ID29,Recruiting,BZ,92,107,15,1
Project ID27,Validating,RC,82,108,26,1
Project ID27,Recruiting,RC,108,109,1,1
Project ID5,Recruiting,KB,23,110,87,1
Project ID34,Validating,BZ,106,111,5,0
Project ID25,Recruiting,BZ,91,113,22,1
Project ID28,Validating,KB,89,115,26,0
Project ID30,Validating,RC,91,115,24,0
Project ID22,Recruiting,RC,78,117,39,1
Project ID37,Validating,KB,115,122,7,0
Project ID35,Validating,RC,108,127,19,1
Project ID19,Recruiting,KB,89,130,41,1
Project ID36,Validating,BZ,111,131,20,1
Project ID6,Building,RC,38,133,95,1
Project ID38,Validating,RC,116,138,22,0
Project ID39,Validating,KB,122,140,18,0
Project ID40,Validating,RC,127,143,16,0
Project ID31,Validating,BZ,92,150,58,0
Project ID41,Validating,BZ,131,153,22,0
Project ID33,Validating,KB,105,154,49,1
Project ID44,Validating,RC,150,155,5,0
Project ID24,Recruiting,RC,82,157,75,1
Project ID32,Recruiting,BZ,106,161,55,0
Project ID35,Recruiting,RC,127,166,39,1
Project ID20,Recruiting,BZ,102,167,65,1
Project ID2,Building,KB,59,168,109,1
Project ID36,Recruiting,BZ,131,171,40,1
Project ID43,Validating,KB,145,172,27,1
Project ID9,Recruiting,KB,46,174,128,1
Project ID42,Validating,RC,138,178,40,1
Project ID8,Building,RC,84,180,96,1
Project ID25,Building,BZ,113,185,72,0
